Type,Watts,Start Date,Ownership
HPS,70,1980-01-01,COE
LED,43,2016-06-27,COE
HPS,400,2012-12-31,COE
HPS,100,2013-09-01,COE
HPS,100,2004-07-01,COE
HPS,150,2002-09-01,COE
HPS,150,2006-08-06,COE
HPS,100,2007-01-31,COE
LED,43,2012-01-26,COE
LED,72,2011-11-29,COE
HPS,100,1998-01-11,COE
HPS,100,2014-05-05,COE
HPS,70,1979-01-01,COE
HPS,250,2009-03-01,COE
LED,91,2016-07-12,COE
HPS,100,1999-01-01,COE
HPS,250,2013-05-30,COE
LED,105,2016-04-12,COE
LED,143,2012-01-14,COE
HPS,100,2007-03-01,COE
HPS,150,1995-12-14,COE
HPS,70,2008-06-21,COE
HPS,100,2003-01-02,COE
MH,100,2009-02-11,COE
LED,105,2015-08-24,COE
HPS,100,2000-01-01,COE
LED,86,2012-11-22,COE
HPS,100,2002-12-01,COE
HPS,70,1991-01-15,COE
HPS,400,2005-04-06,COE
HPS,150,2008-05-09,COE
HPS,250,1991-01-01,COE
HPS,250,2012-12-31,COE
HPS,150,2002-09-01,COE
HPS,150,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,100,1999-01-01,COE
HPS,150,2002-09-01,COE
LED,53,2017-01-16,COE
HPS,70,2002-09-01,COE
HPS,250,2010-05-06,COE
LED,34,2016-06-17,COE
LED,72,2014-11-01,COE
LED,34,2015-07-06,COE
LED,22,2013-06-12,COE
HPS,70,2002-09-01,COE
HPS,100,2002-11-01,COE
LED,73,2015-07-06,COE
LED,65,2013-12-01,COE
LED,35,2015-05-01,COE
LED,35,2014-04-07,COE
HPS,150,1991-01-01,COE
HPS,70,2008-10-01,COE
HPS,70,2002-09-01,COE
HPS,150,1985-01-01,COE
HPS,70,2002-09-01,COE
HPS,100,2014-10-01,COE
LED,34,2016-07-08,COE
HPS,70,2002-09-01,COE
HPS,150,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,100,2011-02-01,COE
HPS,100,2007-10-01,COE
HPS,100,1992-05-07,COE
HPS,250,1989-08-18,COE
HPS,150,2002-09-01,COE
HPS,150,2002-09-01,COE
HPS,250,1993-04-23,COE
HPS,100,2003-10-01,COE
LED,160,2016-12-14,COE
HPS,150,2000-08-24,COE
HPS,70,1984-07-03,COE
HPS,150,2010-09-01,COE
HPS,70,2002-09-01,COE
LED,143,2012-01-12,COE
LED,75,2016-08-25,COE
HPS,100,2010-06-10,COE
LED,43,2014-09-01,COE
HPS,100,2002-09-01,COE
HPS,100,2006-12-07,COE
HPS,100,2010-12-01,COE
HPS,100,2003-12-01,COE
HPS,100,2012-11-01,COE
